2018-11-15 01:04:23,"b'RT @JoeSmithTB: Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo crashed i\xe2\x80\xa6'"
2018-11-15 00:17:14,"b'@united confiscating my hard-earned 19,000 miles is criminal.  Disappointed and enraged; saving up for a special tr\xe2\x80\xa6 https://t.co/M3YT5s6hlM'"
2018-11-14 23:54:46,b'There needs to be a new word invented for my feelings about #UnitedAirlines. I don\xe2\x80\x99t like using the word hate. Ideas welcomed!'
2018-11-14 23:09:48,b'United is the besttttttt #unitedairlines https://t.co/lEXkAhHdwJ'
2018-11-14 22:55:07,b'RT @JillDeLosReyes: DONT FLY UNITED! they will RAPE your ASS.  No full size carry on luggage.  Can\xe2\x80\x99t even pay to carry it on or pay to chan\xe2\x80\xa6'
2018-11-14 22:47:25,b'DONT FLY UNITED! they will RAPE your ASS.  No full size carry on luggage.  Can\xe2\x80\x99t even pay to carry it on or pay to\xe2\x80\xa6 https://t.co/28j3RGXEsg'
2018-11-14 21:47:08,"b'RT @sebaborsero: ""United"" #boeing #unitedairlines @united #closeup #avgeek #nikon #d7200 #airplane #airport #aviation #engine #morning #bea\xe2\x80\xa6'"
2018-11-14 21:40:36,"b'RT @JoeSmithTB: Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo crashed i\xe2\x80\xa6'"
2018-11-14 21:35:52,"b'Get 1,000 free United miles for downloading the Prosper Daily app #travel https://t.co/HrbgyvhRS6 #apps\xe2\x80\xa6 https://t.co/WZXMzIb4z6'"
2018-11-14 21:30:32,"b'RT @JoeSmithTB: Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo crashed i\xe2\x80\xa6'"
2018-11-14 21:16:43,"b'RT @JoeSmithTB: Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo crashed i\xe2\x80\xa6'"
2018-11-14 20:54:14,"b'RT @JoeSmithTB: Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo crashed i\xe2\x80\xa6'"
2018-11-14 20:54:06,b'#unitedairlines And they might cancel my next flight too!'
2018-11-14 20:45:56,b'United Airlines @united @weareunited should be proud to have this lady working in ATL \xf0\x9f\xa4\x99 Look what she says about\xe2\x80\xa6 https://t.co/Q2QztVEKuN'
2018-11-14 20:07:11,"b'RT @JoeSmithTB: Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo crashed i\xe2\x80\xa6'"
2018-11-14 20:06:24,b'thanks again @united for helping to fix our Thanksgiving itinerary. \xf0\x9f\x98\x80 #unitedairlines'
2018-11-14 20:01:24,b'Just landed. Can anyone guess where I am?! #travel #denver #longflight #united #unitedairlines #unitedjourney\xe2\x80\xa6 https://t.co/L596b6bPAP'
2018-11-14 20:01:22,b'$708* &amp; up -- Flights to Singapore Aboard United Airlines (Roundtrip) https://t.co/nBQqTiKVg9 #sin #den\xe2\x80\xa6 https://t.co/Hp2dBMgcfJ'
2018-11-14 19:58:05,"b'RT @JoeSmithTB: Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo crashed i\xe2\x80\xa6'"
2018-11-14 19:51:09,"b'RT @JoeSmithTB: Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo crashed i\xe2\x80\xa6'"
2018-11-14 19:49:15,"b'RT @JoeSmithTB: Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo crashed i\xe2\x80\xa6'"
2018-11-14 19:47:01,"b'RT @JoeSmithTB: Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo crashed i\xe2\x80\xa6'"
2018-11-14 19:46:52,"b'Of all the flight delays I\xe2\x80\x99ve experienced in my hockey travels, this was a first: the de-icing machine in Buffalo c\xe2\x80\xa6 https://t.co/BrcCMOkM10'"
2018-11-14 19:12:55,b'RT @microphonephoen: Confession: I\xe2\x80\x99m that weirdo at the  airport in full on yoga poses before I board the plane.  Lol @LFAfighting @AXSTVFi\xe2\x80\xa6'
2018-11-14 18:17:35,b'RT @gusnyc: I love the #winglet in the #embraer175 #unitedairlines #mesaairlines #unitedexpress #plane #wing #traveling #iah #houston #from\xe2\x80\xa6'
2018-11-14 18:10:31,b'I love the #winglet in the #embraer175 #unitedairlines #mesaairlines #unitedexpress #plane #wing #traveling #iah\xe2\x80\xa6 https://t.co/qd7aEugaeu'
2018-11-14 17:53:11,b'RT @microphonephoen: Confession: I\xe2\x80\x99m that weirdo at the  airport in full on yoga poses before I board the plane.  Lol @LFAfighting @AXSTVFi\xe2\x80\xa6'
2018-11-14 17:30:10,b'United Airlines is consistently the WORST airline in the world. I\xe2\x80\x99m on flight UA6078 from YYZ to IAH and this is th\xe2\x80\xa6 https://t.co/QHXc2dApih'
2018-11-14 17:13:05,b'RT @microphonephoen: Confession: I\xe2\x80\x99m that weirdo at the  airport in full on yoga poses before I board the plane.  Lol @LFAfighting @AXSTVFi\xe2\x80\xa6'
2018-11-14 17:05:04,b'RT @microphonephoen: Confession: I\xe2\x80\x99m that weirdo at the  airport in full on yoga poses before I board the plane.  Lol @LFAfighting @AXSTVFi\xe2\x80\xa6'
2018-11-14 16:29:01,b'The new Airbus non-stop on #UnitedAirlines from @FresnoAirport to @fly2ohare just keeps getting cheaper: $144 each\xe2\x80\xa6 https://t.co/bOcRU2QOKF'
2018-11-14 16:23:52,b'Confession: I\xe2\x80\x99m that weirdo at the  airport in full on yoga poses before I board the plane.  Lol @LFAfighting\xe2\x80\xa6 https://t.co/JvetyNSx3f'
2018-11-14 16:19:15,b'#UnitedAirlines Becomes First North American Airline to Welcome the Boeing 787-10 to its Fleet for flights from and\xe2\x80\xa6 https://t.co/wlVJ69T9ek'
2018-11-14 16:17:19,b'We\xe2\x80\x99re excited to welcome United Airlines back to PIT for their first event(s) with us since their successful traini\xe2\x80\xa6 https://t.co/IHnYIoNMaq'
2018-11-14 16:12:23,b'Entertained by passengers waiting for delayed flight from #SBA to #SFO due to #californiawildfire. So much reassura\xe2\x80\xa6 https://t.co/7AqqEggW3r'
2018-11-14 15:28:01,"b'Boo-frickin\'-hoo, no pre-flight beverage! ""A #UnitedAirlines Trip Report From An #AmericanAirlines Executive""\xe2\x80\xa6 https://t.co/O604lu690g'"
2018-11-14 15:25:47,"b'#UnitedAirlines to much despised LGA (@ Gate B3 in Chicago, IL) https://t.co/Jq89c4NVqI'"
2018-11-14 14:35:35,"b'\xe2\x81\xa6\xe2\x81\xa6@kategebo\xe2\x81\xa9 of #UnitedAirlines gave great examples of being #LeadersWhoCare, #Inclusion for folks with\xe2\x80\xa6 https://t.co/uL4V6J95VL'"
2018-11-14 14:23:14,b'\xe2\x81\xa6@UNITEDA1RLINES\xe2\x81\xa9  @unitedairlines @newarkairport #unitedairlines #newarkairport  this is how united handle luggage\xe2\x80\xa6 https://t.co/1nn2dDtjQg'
2018-11-14 14:00:31,"b""Oh goody...the plane has broken down. That's why we all love #UnitedAirlines Because you don't fly the friendly ski\xe2\x80\xa6 https://t.co/CufzrMZDqD"""
2018-11-14 13:44:43,b'RT @SFC_Airborne51: Whoever made this is genius #NewUnitedAirlinesMottos #unitedAIRLINES #Dontflyunited https://t.co/XcYL6IbNCw'
2018-11-14 13:01:05,b'$824* &amp; up -- United Airlines Flights to Sydney (Roundtrip) https://t.co/TvBZaAxMNl #syd #ord #unitedairlines https://t.co/pEOuuC0ykD'
2018-11-14 12:23:23,b'Airline subsidiaries. Do they work. What are the many pros &amp; cons of doing this kind of thing. #AirFrance\xe2\x80\xa6 https://t.co/WM8Kq2mJ2d'
2018-11-14 07:34:26,b'See you soon England! Next stop New York! #unitedairlines #newyorkbirthday @ Heathrow Airport https://t.co/GBTbFMj7V5'
2018-11-14 04:57:10,"b'When my @united flight to SFO was delayed due to smoke from wildfires, the airline proactively filled an earlier fl\xe2\x80\xa6 https://t.co/9eTrwozYuC'"
